Id,Label,Centrality
K010201,Kemiskinan,20.9540413
K010401A,Lahir Faskes (B40),27.79319388
K010401F,RT Kumuh Kota (B40),19.49291845
K010401G,APM SD (B40) ,26.06218932
K010401H,APM SMP (B40) ,26.47169983
K010401I,APM SMA (B40) ,26.71346337
K010401J,Akta Lahir (B40) ,28.37588932
K020101A,Underweight,22.57184397
K020201,Stunting,23.09858662
K020202_1,Wasting,23.34440535
K020202_2,Gemuk,21.88525531
K030102,Lahir Tenkes,28.15646081
K030102A,Lahir Faskes,27.81452073
K030801A,Unmet need kesehatan,23.10181402
K030802,Asuransi,23.72537139
K030A01,Merokok,20.19945903
K040101D,APK SD,22.43453308
K040101E,APK SMP,24.64490918
K040101F,APK SMA,25.75577027
K040101G,Rata2 Lama Sekolah,25.35885151
K040202A,APK PAUD,24.76625383
K040301B,APK PT,24.15548435
K040401_1,Remaja TIK,27.97433438
K040401_2,Dewasa TIK,27.56212255
K040501_1,APM SD (P/L),24.86566435
K040501_2,APM SMP (P/L),23.18103083
K040501_3,APM  SMA (P/L),23.20448043
K040501_4,APK PT (P/L),21.63013183
K040601A,Melek Huruf â‰¥ 15,26.10636723
K040601B_1,Melek Huruf 15-24,26.61574323
K040601B_2,Melek Huruf 15-59,26.76458593
K050301_1,Kawin <15,6.603715807
K050301_2,Kawin <18,20.33999869
K050B01,HP,26.5222218
K060101A,Air Minum Layak,23.82929734
K060201B,Sanitasi Layak,27.22292825
K070102B,Gas RT,26.610215
K080101,Laju PDB per kap.,26.22357191
K080101A,PDB per kap.,20.16039613
K080201,PDB riil per org bekerja,25.97017287
K080301,Informal non-pertanian (%),20.38533552
K080301A,TK Formal (%),25.94879876
K080301B,Informal Pertanian (%),15.47199771
K080501,Upah Rata2,20.35734054
K080502,Pengangguran Terbuka,20.35007615
K080502A,Setengah Pengangguran,24.1100101
K080601,NEET,18.18859816
K080901B,Wisnus,25.13424266
K090202,TK Manufaktur,25.2643526
K100201,< 50% med. Pendapatan,20.14741038
K110101A,Hunian Layak,26.76317893
K110501_1,Korban meninggal,6.75510928
K110501_2,Korban Luka,7.632170651
K160103A,Korban kekerasan,20.78257845
K160901,Akta balita,28.27570865
K160901A,Akta (B40),25.30987266
K160901B,Akta anak,28.57971884
K170801,Internet,26.83752374
